Date,Open,High,Low,Close,Adj Close,Volume
19-08-2004,2.491,2.592,2.39,2.499,2.499,897427216
20-08-2004,2.516,2.717,2.503,2.698,2.698,458857488
23-08-2004,2.758,2.826,2.716,2.725,2.725,366857939
24-08-2004,2.771,2.78,2.58,2.612,2.612,306396159
25-08-2004,2.614,2.69,2.587,2.64,2.64,184645512
26-08-2004,2.614,2.689,2.607,2.688,2.688,142572401
27-08-2004,2.692,2.705,2.632,2.644,2.644,124826132
30-08-2004,2.622,2.627,2.541,2.541,2.541,104429967
31-08-2004,2.548,2.583,2.544,2.55,2.55,98825037
01-09-2004,2.558,2.565,2.482,2.497,2.497,183633734
02-09-2004,2.47,2.55,2.464,2.528,2.528,303810504
03-09-2004,2.514,2.534,2.474,2.491,2.491,103538639
07-09-2004,2.516,2.54,2.481,2.53,2.53,117506800
08-09-2004,2.509,2.566,2.503,2.548,2.548,100186120
09-09-2004,2.554,2.558,2.516,2.548,2.548,81620792
10-09-2004,2.531,2.654,2.523,2.623,2.623,174804764
13-09-2004,2.656,2.7,2.652,2.677,2.677,157628624
14-09-2004,2.676,2.79,2.66,2.777,2.777,217608605
15-09-2004,2.754,2.845,2.745,2.79,2.79,215279909
16-09-2004,2.798,2.884,2.781,2.839,2.839,186207345
17-09-2004,2.85,2.926,2.828,2.926,2.926,190350817
20-09-2004,2.913,3.029,2.908,2.973,2.973,213585582
21-09-2004,2.984,2.999,2.927,2.935,2.935,145262446
22-09-2004,2.924,2.981,2.909,2.948,2.948,152344894
23-09-2004,2.96,3.054,2.915,3.009,3.009,171524515
24-09-2004,3.012,3.091,2.983,2.985,2.985,183336625
27-09-2004,2.978,3.011,2.934,2.945,2.945,141994242
28-09-2004,3.021,3.173,2.994,3.16,3.16,340190355
29-09-2004,3.156,3.363,3.144,3.265,3.265,613229953
30-09-2004,3.235,3.295,3.213,3.228,3.228,276468402
01-10-2004,3.258,3.343,3.21,3.302,3.302,303934969
04-10-2004,3.369,3.409,3.338,3.364,3.364,261693228
05-10-2004,3.354,3.45,3.294,3.446,3.446,300887589
06-10-2004,3.426,3.448,3.387,3.414,3.414,268900140
07-10-2004,3.41,3.484,3.401,3.458,3.458,283643194
08-10-2004,3.455,3.479,3.413,3.43,3.43,222442656
11-10-2004,3.412,3.459,3.334,3.369,3.369,210437827
12-10-2004,3.348,3.427,3.323,3.422,3.422,234419380
13-10-2004,3.57,3.575,3.489,3.509,3.509,397203256
14-10-2004,3.512,3.546,3.451,3.537,3.537,209835578
